"Domain","Function","Process_Id","Thread_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,66,10682775936203,10682775936253
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,67,10682775936564,10682775962384
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,68,10682775962894,10682775962934
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,69,10682775963204,10682775988154
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,70,10682775988674,10682775988724
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,71,10682775990474,10682776016405
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,72,10682776017315,10682776017365
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,73,10682776017645,10682776042755
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,74,10682776043205,10682776043245
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,75,10682776043585,10682776069395
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,76,10682776070065,10682776070115
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,77,10682776070415,10682776095346
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,78,10682776095786,10682776095836
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,79,10682776096126,10682776121596
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,80,10682776122046,10682776122086
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,81,10682776122356,10682776152176
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,82,10682776153206,10682776153256
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,83,10682776153556,10682776179327
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,84,10682776179787,10682776179827
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,85,10682776180107,10682776204727
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,86,10682776205347,10682776205397
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,87,10682776205707,10682776231578
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,88,10682776232038,10682776232088
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,89,10682776232398,10682776257568
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,90,10682776258648,10682776258698
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,91,10682776258998,10682776284868
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,92,10682776285328,10682776285378
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,93,10682776285668,10682776310869
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,94,10682776311469,10682776311519
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,95,10682776313449,10682776340419
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,96,10682776340879,10682776340919
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,97,10682776341179,10682776366019
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,98,10682776366469,10682776366519
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,99,10682776366839,10682776392320
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,100,10682776393210,10682776393250
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,101,10682776393520,10682776418420
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,102,10682776418870,10682776418910
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,103,10682776419220,10682776445870
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,104,10682776446580,10682776446620
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,105,10682776446921,10682776472001
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,106,10682776472441,10682776472491
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,107,10682776472761,10682776497621
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,108,10682776498081,10682776498121
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,109,10682776498441,10682776522682
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,110,10682776523632,10682776523682
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,111,10682776524012,10682776549402
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,112,10682776549852,10682776549892
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,113,10682776550212,10682776574562
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,114,10682776575342,10682776575392
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,115,10682776575672,10682776600663
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,116,10682776601113,10682776601153
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,117,10682776601453,10682776625613
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,118,10682776627423,10682776627473
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,119,10682776627783,10682776653233
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,120,10682776654513,10682776654563
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,121,10682776654823,10682776679364
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,122,10682776679814,10682776679864
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,123,10682776680164,10682776705494
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,124,10682776706094,10682776706134
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,125,10682776706434,10682776730894
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,126,10682776731334,10682776731384
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,127,10682776731704,10682776756635
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,128,10682776757125,10682776757175
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,129,10682776757525,10682776781975
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,130,10682776782815,10682776782865
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,131,10682776783145,10682776808065
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,132,10682776808555,10682776808595
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,133,10682776808885,10682776833246
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,134,10682776833906,10682776833946
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,135,10682776834276,10682776859556
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,136,10682776860006,10682776860046
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,137,10682776860376,10682776884887
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,138,10682776885407,10682776885457
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,139,10682776885747,10682776910897
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,140,10682776911687,10682776911737
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,141,10682776913427,10682776938047
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,142,10682776938507,10682776938557
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,143,10682776938857,10682776964088
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,144,10682776964888,10682776964928
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,145,10682776965218,10682776993568
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,146,10682776994028,10682776994068
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,147,10682776994338,10682777019418
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,148,10682777020278,10682777020328
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,149,10682777020618,10682777045209
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,150,10682777045649,10682777045689
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,151,10682777045979,10682777070939
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,152,10682777071599,10682777071649
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,153,10682777071939,10682777097059
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,154,10682777097709,10682777097759
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,155,10682777098289,10682777124450
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,156,10682777124890,10682777124930
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,157,10682777125240,10682777149600
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,158,10682777150360,10682777150400
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,159,10682777150670,10682777175621
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,160,10682777176051,10682777176101
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,161,10682777176401,10682777201211
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,162,10682777201841,10682777201891
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,163,10682777202181,10682777226551
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,164,10682777228421,10682777228471
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,165,10682777228801,10682777253462
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,166,10682777253922,10682777253962
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,167,10682777254282,10682777278692
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,168,10682777279652,10682777279702
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,169,10682777279982,10682777304532
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,170,10682777304982,10682777305022
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,171,10682777305382,10682777330153
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,172,10682777330763,10682777330813
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,173,10682777331133,10682777355403
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,174,10682777355893,10682777355943
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,175,10682777356233,10682777380683
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,176,10682777381123,10682777381173
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,177,10682777381543,10682777405924
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,178,10682777406764,10682777406804
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,179,10682777407164,10682777432114
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,180,10682777432564,10682777432614
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,181,10682777432914,10682777457164
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,182,10682777457934,10682777457984
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,183,10682777458254,10682777482615
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,184,10682777483075,10682777483125
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,185,10682777483435,10682777507625
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,186,10682777508075,10682777508115
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,187,10682777508395,10682777532895
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,188,10682777535185,10682777535235
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,189,10682777535595,10682777560116
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,190,10682777560586,10682777560636
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,191,10682777560996,10682777585506
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,192,10682777586296,10682777586356
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,193,10682777586806,10682777611756
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,194,10682777612336,10682777612386
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,195,10682777612756,10682777638197
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,196,10682777638717,10682777638777
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,197,10682777639117,10682777663947
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,198,10682777664927,10682777664987
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,199,10682777665357,10682777690328
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,200,10682777690878,10682777690938
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,201,10682777691358,10682777716138
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,202,10682777716908,10682777716968
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,203,10682777717348,10682777742738
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,204,10682777743298,10682777743348
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,205,10682777743738,10682777768369
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,206,10682777769429,10682777769489
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,207,10682777769849,10682777794739
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,208,10682777795299,10682777795349
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,209,10682777795709,10682777825409
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,210,10682777826149,10682777826199
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,211,10682777828159,10682777853540
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,212,10682777854110,10682777854170
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,213,10682777854510,10682777879360
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,214,10682777879990,10682777880050
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,215,10682777880380,10682777905231
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,216,10682777906141,10682777906191
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,217,10682777906571,10682777931431
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,218,10682777931981,10682777932041
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,219,10682777932391,10682777957391
"HIP_RUNTIME_API_EXT","hipGetDevice",90351,90351,220,10682777958161,10682777958221
"HIP_RUNTIME_API_EXT","hipMemset",90351,90351,221,10682777958591,10682777983422
